Experiment: Edward qPCR Txn Inhibitors HS 2018-06-15 plate 2  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	L10	Sample 274	16.49		0	
True	255	L11	Sample 275	17.50		0	
True	255	L12	Sample 276	15.78		0	
True	255	L13	Sample 277	17.58		0	
True	255	L14	Sample 278	15.79		0	
True	255	L15	Sample 279	15.94		0	
True	255	L16	Sample 280	17.35		0	
True	255	L17	Sample 281	16.80		0	
True	255	L18	Sample 282	16.42		0	
True	255	L19	Sample 283	29.83		0	
True	65280	L20	Sample 284			0	
True	255	L21	Sample 285	35.60		0	
True	65280	L22	Sample 286			0	
True	65280	L23	Sample 287			0	
True	255	L24	Sample 288	30.18		0	
True	255	M1	Sample 289	14.93		0	
True	255	M2	Sample 290	14.97		0	
True	255	M3	Sample 291	14.73		0	
True	255	M4	Sample 292	14.95		0	
True	255	M5	Sample 293	14.83		0	
True	255	M6	Sample 294	14.53		0	
True	255	M7	Sample 295	14.90		0	
True	255	M8	Sample 296	14.93		0	
True	255	M9	Sample 297	17.14		0	
True	255	M10	Sample 298	15.18		0	
True	255	M11	Sample 299	14.80		0	
True	255	M12	Sample 300	15.44		0	
True	255	M13	Sample 301	18.00		0	
True	255	M14	Sample 302	14.83		0	
True	255	M15	Sample 303	17.36		0	
True	255	M16	Sample 304	17.15		0	
True	255	M17	Sample 305	15.09		0	
True	255	M18	Sample 306	15.76		0	
True	255	M19	Sample 307	29.91		0	
True	65280	M20	Sample 308			0	
True	255	M21	Sample 309	37.51		0	
True	255	M22	Sample 310	36.25		0	
True	255	M23	Sample 311	35.59		0	
True	255	M24	Sample 312	30.57		0	
True	255	N1	Sample 313	17.49		0	
True	255	N2	Sample 314	15.66		0	
True	255	N3	Sample 315	15.82		0	
True	255	N4	Sample 316	16.72		0	
True	255	N5	Sample 317	17.55		0	
True	255	N6	Sample 318	15.98		0	
True	255	N7	Sample 319	17.35		0	
True	255	N8	Sample 320	15.35		0	
True	255	N9	Sample 321	16.22		0	
True	255	N10	Sample 322	16.53		0	
True	255	N11	Sample 323	17.53		0	
True	255	N12	Sample 324	15.64		0	
True	255	N13	Sample 325	17.43		0	
True	255	N14	Sample 326	15.38		0	
True	255	N15	Sample 327	15.92		0	
True	255	N16	Sample 328	16.61		0	
True	255	N17	Sample 329	17.65		0	
True	255	N18	Sample 330	16.42		0	
True	255	N19	Sample 331	30.86		0	
True	255	N20	Sample 332	35.84		0	
True	65280	N21	Sample 333			0	
True	255	N22	Sample 334	35.34		0	
True	255	N23	Sample 335	35.75		0	
True	255	N24	Sample 336	30.75		0	
True	255	O1	Sample 337	23.31		0	
True	255	O2	Sample 338	23.40		0	
True	255	O3	Sample 339	22.07		0	
True	255	O4	Sample 340	24.14		0	
True	255	O5	Sample 341	25.15		0	
True	255	O6	Sample 342	23.16		0	
True	255	O7	Sample 343	22.69		0	
True	255	O8	Sample 344	22.83		0	
True	255	O9	Sample 345	22.20		0	
True	255	O10	Sample 346	23.54		0	
True	255	O11	Sample 347	24.51		0	
True	255	O12	Sample 348	23.17		0	
True	255	O13	Sample 349	22.84		0	
True	255	O14	Sample 350	22.79		0	
True	255	O15	Sample 351	22.04		0	
True	255	O16	Sample 352	23.50		0	
True	255	O17	Sample 353	24.39		0	
True	255	O18	Sample 354	23.63		0	
True	255	O19	Sample 355	32.99		0	
True	65280	O20	Sample 356			0	
True	65280	O21	Sample 357			0	
True	65280	O22	Sample 358			0	
True	65280	O23	Sample 359			0	
True	255	O24	Sample 360	33.20		0	
True	255	P1	Sample 361	14.34		0	
True	255	P2	Sample 362	13.78		0	
True	255	P3	Sample 363	12.77		0	
True	255	P4	Sample 364	14.23		0	
True	255	P5	Sample 365	14.57		0	
True	255	P6	Sample 366	13.14		0	
True	255	P7	Sample 367	13.75		0	
True	255	P8	Sample 368	12.82		0	
True	255	P9	Sample 369	12.68		0	
True	255	P10	Sample 370	13.61		0	
True	255	P11	Sample 371	14.22		0	
True	255	P12	Sample 372	13.13		0	
True	255	P13	Sample 373	13.60		0	
True	255	P14	Sample 374	13.15		0	
True	255	P15	Sample 375	12.90		0	
True	255	P16	Sample 376	14.24		0	
True	255	P17	Sample 377	14.14		0	
True	255	P18	Sample 378	13.73		0	
True	65280	P19	Sample 379			0	
True	65280	P20	Sample 380			0	
True	65280	P21	Sample 381			0	
True	65280	P22	Sample 382			0	
True	255	P23	Sample 383	34.51		0	
True	255	P24	Sample 384	29.75		0	
