Experiment: Edward qPCR Txn Inhibitors HS 2018-06-15 plate 1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	D23	Sample 95	32.48		0	
True	255	D24	Sample 96	32.24		0	
True	255	E1	Sample 97	17.93		0	
True	255	E2	Sample 98	13.49		0	
True	255	E3	Sample 99	17.28		0	
True	255	E4	Sample 100	15.07		0	
True	255	E5	Sample 101	16.94		0	
True	255	E6	Sample 102	16.50		0	
True	255	E7	Sample 103	17.03		0	
True	255	E8	Sample 104	16.99		0	
True	255	E9	Sample 105	17.47		0	
True	255	E10	Sample 106	15.93		0	
True	255	E11	Sample 107	16.69		0	
True	255	E12	Sample 108	17.40		0	
True	255	E13	Sample 109	16.95		0	
True	255	E14	Sample 110	17.12		0	
True	255	E15	Sample 111	17.67		0	
True	255	E16	Sample 112	15.97		0	
True	255	E17	Sample 113	16.24		0	
True	255	E18	Sample 114	17.27		0	
True	65280	E19	Sample 115			0	
True	255	E20	Sample 116	35.78		0	
True	65280	E21	Sample 117			0	
True	255	E22	Sample 118	31.06		0	
True	65280	E23	Sample 119			0	
True	255	E24	Sample 120	32.20		0	
True	255	F1	Sample 121	21.57		0	
True	255	F2	Sample 122	21.66		0	
True	255	F3	Sample 123	21.54		0	
True	255	F4	Sample 124	17.41		0	
True	255	F5	Sample 125	19.62		0	
True	255	F6	Sample 126	21.50		0	
True	255	F7	Sample 127	21.67		0	
True	255	F8	Sample 128	21.28		0	
True	255	F9	Sample 129	20.74		0	
True	255	F10	Sample 130	17.97		0	
True	255	F11	Sample 131	20.39		0	
True	255	F12	Sample 132	19.76		0	
True	255	F13	Sample 133	21.41		0	
True	255	F14	Sample 134	20.76		0	
True	255	F15	Sample 135	21.13		0	
True	255	F16	Sample 136	16.50		0	
True	255	F17	Sample 137	19.65		0	
True	255	F18	Sample 138	21.00		0	
True	65280	F19	Sample 139			0	
True	65280	F20	Sample 140			0	
True	65280	F21	Sample 141			0	
True	255	F22	Sample 142	33.33		0	
True	65280	F23	Sample 143			0	
True	255	F24	Sample 144	34.94		0	
True	255	G1	Sample 145	24.68		0	
True	255	G2	Sample 146	23.36		0	
True	255	G3	Sample 147	25.51		0	
True	255	G4	Sample 148	16.05		0	
True	255	G5	Sample 149	17.20		0	
True	255	G6	Sample 150	18.90		0	
True	255	G7	Sample 151	25.02		0	
True	255	G8	Sample 152	23.33		0	
True	255	G9	Sample 153	24.99		0	
True	255	G10	Sample 154	16.42		0	
True	255	G11	Sample 155	17.39		0	
True	255	G12	Sample 156	18.90		0	
True	255	G13	Sample 157	24.94		0	
True	255	G14	Sample 158	23.29		0	
True	255	G15	Sample 159	24.90		0	
True	255	G16	Sample 160	16.39		0	
True	255	G17	Sample 161	17.54		0	
True	255	G18	Sample 162	18.52		0	
True	65280	G19	Sample 163			0	
True	65280	G20	Sample 164			0	
True	65280	G21	Sample 165			0	
True	255	G22	Sample 166	31.63		0	
True	65280	G23	Sample 167			0	
True	255	G24	Sample 168	34.98		0	
True	255	H1	Sample 169	19.77		0	
True	255	H2	Sample 170	18.15		0	
True	255	H3	Sample 171	17.88		0	
True	255	H4	Sample 172	16.84		0	
True	65280	H5	Sample 173			0	
True	255	H6	Sample 174	18.78		0	
True	255	H7	Sample 175	19.80		0	
True	255	H8	Sample 176	14.95		0	
True	255	H9	Sample 177	18.29		0	
True	255	H10	Sample 178	  3.11		0	
True	255	H11	Sample 179	17.00		0	
True	255	H12	Sample 180	18.16		0	
True	255	H13	Sample 181	18.88		0	
True	255	H14	Sample 182	17.29		0	
True	255	H15	Sample 183	18.19		0	
True	255	H16	Sample 184	16.80		0	
True	255	H17	Sample 185	17.78		0	
True	255	H18	Sample 186	17.29		0	
True	65280	H19	Sample 187			0	
True	65280	H20	Sample 188			0	
True	65280	H21	Sample 189			0	
True	255	H22	Sample 190	33.08		0	
True	65280	H23	Sample 191			0	
True	255	H24	Sample 192	33.93		0	
True	255	I1	Sample 193	21.52		0	
True	255	I2	Sample 194	19.34		0	
True	255	I3	Sample 195	20.54		0	
True	255	I4	Sample 196	19.99		0	
True	255	I5	Sample 197	19.91		0	
True	255	I6	Sample 198	18.85		0	
True	255	I7	Sample 199	14.00		0	
True	255	I8	Sample 200	18.83		0	
True	255	I9	Sample 201	18.98		0	
True	255	I10	Sample 202	18.93		0	
True	255	I11	Sample 203	18.81		0	
True	255	I12	Sample 204	19.83		0	
True	255	I13	Sample 205	18.12		0	
True	255	I14	Sample 206	16.39		0	
True	255	I15	Sample 207	19.00		0	
True	255	I16	Sample 208	18.12		0	
True	255	I17	Sample 209	19.95		0	
True	255	I18	Sample 210	18.44		0	
True	255	I19	Sample 211	34.90		0	
True	65280	I20	Sample 212			0	
True	65280	I21	Sample 213			0	
True	255	I22	Sample 214	32.46		0	
True	65280	I23	Sample 215			0	
True	255	I24	Sample 216	32.43		0	
True	255	J1	Sample 217	20.76		0	
True	255	J2	Sample 218	16.68		0	
True	255	J3	Sample 219	15.94		0	
True	255	J4	Sample 220	18.77		0	
True	255	J5	Sample 221	20.50		0	
True	255	J6	Sample 222	20.47		0	
True	255	J7	Sample 223	18.58		0	
True	255	J8	Sample 224	14.91		0	
True	255	J9	Sample 225	13.31		0	
True	255	J10	Sample 226	18.86		0	
True	255	J11	Sample 227	20.10		0	
True	255	J12	Sample 228	20.81		0	
True	255	J13	Sample 229	18.95		0	
True	255	J14	Sample 230	16.29		0	
True	255	J15	Sample 231	18.58		0	
True	255	J16	Sample 232	17.99		0	
True	255	J17	Sample 233	20.83		0	
True	255	J18	Sample 234	20.85		0	
True	255	J19	Sample 235	34.82		0	
True	65280	J20	Sample 236			0	
True	65280	J21	Sample 237			0	
True	255	J22	Sample 238	31.54		0	
True	65280	J23	Sample 239			0	
True	255	J24	Sample 240	32.88		0	
True	255	K1	Sample 241	24.46		0	
True	255	K2	Sample 242	20.93		0	
True	255	K3	Sample 243	21.36		0	
True	255	K4	Sample 244	20.98		0	
True	255	K5	Sample 245	18.63		0	
True	255	K6	Sample 246	22.97		0	
True	255	K7	Sample 247	20.53		0	
True	255	K8	Sample 248	20.83		0	
True	255	K9	Sample 249	21.01		0	
True	255	K10	Sample 250	20.29		0	
True	255	K11	Sample 251	16.97		0	
True	255	K12	Sample 252	20.74		0	
True	255	K13	Sample 253	21.14		0	
True	255	K14	Sample 254	21.15		0	
True	255	K15	Sample 255	20.30		0	
True	255	K16	Sample 256	20.54		0	
True	255	K17	Sample 257	21.93		0	
True	255	K18	Sample 258	22.85		0	
True	65280	K19	Sample 259			0	
True	65280	K20	Sample 260			0	
True	65280	K21	Sample 261			0	
True	255	K22	Sample 262	33.43		0	
True	65280	K23	Sample 263			0	
True	255	K24	Sample 264	32.41		0	
True	255	L1	Sample 265	20.83		0	
True	255	L2	Sample 266	17.08		0	
True	65280	L3	Sample 267			0	
True	255	L4	Sample 268	17.88		0	
True	255	L5	Sample 269	17.81		0	
True	255	L6	Sample 270	17.96		0	
True	255	L7	Sample 271	16.88		0	
True	255	L8	Sample 272	17.09		0	
True	255	L9	Sample 273	14.85		0	
True	255	L10	Sample 274	18.00		0	
True	255	L11	Sample 275	18.54		0	
True	255	L12	Sample 276	17.92		0	
True	255	L13	Sample 277	17.71		0	
True	255	L14	Sample 278	17.54		0	
True	255	L15	Sample 279	12.62		0	
True	255	L16	Sample 280	17.61		0	
True	255	L17	Sample 281	14.58		0	
True	255	L18	Sample 282	16.58		0	
True	65280	L19	Sample 283			0	
True	255	L20	Sample 284	36.88		0	
True	65280	L21	Sample 285			0	
True	255	L22	Sample 286	33.24		0	
True	65280	L23	Sample 287			0	
True	255	L24	Sample 288	32.20		0	
True	255	M1	Sample 289	17.52		0	
True	255	M2	Sample 290	15.34		0	
True	255	M3	Sample 291	15.42		0	
True	255	M4	Sample 292	15.89		0	
True	255	M5	Sample 293	15.56		0	
True	255	M6	Sample 294	15.99		0	
True	255	M7	Sample 295	15.56		0	
True	255	M8	Sample 296	14.81		0	
True	255	M9	Sample 297	15.72		0	
True	255	M10	Sample 298	16.44		0	
True	255	M11	Sample 299	16.21		0	
True	255	M12	Sample 300	15.71		0	
True	255	M13	Sample 301	15.57		0	
True	255	M14	Sample 302	15.75		0	
True	255	M15	Sample 303	15.81		0	
True	255	M16	Sample 304	16.25		0	
True	255	M17	Sample 305	15.79		0	
True	255	M18	Sample 306	15.93		0	
True	65280	M19	Sample 307			0	
True	65280	M20	Sample 308			0	
True	65280	M21	Sample 309			0	
True	255	M22	Sample 310	31.99		0	
True	65280	M23	Sample 311			0	
True	255	M24	Sample 312	32.81		0	
True	255	N1	Sample 313	22.40		0	
True	255	N2	Sample 314	18.74		0	
True	255	N3	Sample 315	18.71		0	
True	255	N4	Sample 316	18.37		0	
True	255	N5	Sample 317	19.62		0	
True	255	N6	Sample 318	19.42		0	
True	255	N7	Sample 319	18.78		0	
True	255	N8	Sample 320	18.49		0	
True	255	N9	Sample 321	18.15		0	
True	255	N10	Sample 322	18.46		0	
True	255	N11	Sample 323	18.88		0	
True	255	N12	Sample 324	19.16		0	
True	255	N13	Sample 325	19.19		0	
True	255	N14	Sample 326	18.77		0	
True	255	N15	Sample 327	18.04		0	
True	255	N16	Sample 328	18.42		0	
True	255	N17	Sample 329	18.91		0	
True	255	N18	Sample 330	18.35		0	
True	65280	N19	Sample 331			0	
True	65280	N20	Sample 332			0	
True	65280	N21	Sample 333			0	
True	255	N22	Sample 334	33.85		0	
True	65280	N23	Sample 335			0	
True	255	N24	Sample 336	34.93		0	
True	65280	O1	Sample 337			0	
True	255	O2	Sample 338	24.16		0	
True	255	O3	Sample 339	22.95		0	
True	255	O4	Sample 340	27.46		0	
True	255	O5	Sample 341	25.87		0	
True	255	O6	Sample 342	24.68		0	
True	255	O7	Sample 343	21.77		0	
True	255	O8	Sample 344	21.67		0	
True	255	O9	Sample 345	21.65		0	
True	255	O10	Sample 346	26.97		0	
True	255	O11	Sample 347	26.42		0	
True	255	O12	Sample 348	24.85		0	
True	255	O13	Sample 349	21.83		0	
True	255	O14	Sample 350	21.05		0	
True	255	O15	Sample 351	20.80		0	
True	255	O16	Sample 352	26.02		0	
True	255	O17	Sample 353	25.87		0	
True	255	O18	Sample 354	24.12		0	
True	65280	O19	Sample 355			0	
True	65280	O20	Sample 356			0	
True	65280	O21	Sample 357			0	
True	255	O22	Sample 358	35.97		0	
True	65280	O23	Sample 359			0	
True	255	O24	Sample 360	35.41		0	
True	65280	P1	Sample 361			0	
True	255	P2	Sample 362	13.06		0	
True	255	P3	Sample 363	14.27		0	
True	255	P4	Sample 364	14.06		0	
True	255	P5	Sample 365	14.20		0	
True	255	P6	Sample 366	14.75		0	
True	255	P7	Sample 367	12.64		0	
True	255	P8	Sample 368	12.83		0	
True	255	P9	Sample 369	13.99		0	
True	255	P10	Sample 370	14.45		0	
True	255	P11	Sample 371	14.76		0	
True	255	P12	Sample 372	14.84		0	
True	255	P13	Sample 373	12.99		0	
True	255	P14	Sample 374	12.78		0	
True	255	P15	Sample 375	13.77		0	
True	255	P16	Sample 376	14.61		0	
True	255	P17	Sample 377	14.63		0	
True	255	P18	Sample 378	14.81		0	
True	65280	P19	Sample 379			0	
True	65280	P20	Sample 380			0	
True	65280	P21	Sample 381			0	
True	255	P22	Sample 382	31.82		0	
True	255	P23	Sample 383	36.24		0	
True	255	P24	Sample 384	32.92		0	
